tweet_id,retweets,favorites,creation_time
793150605191548928,1615,5934,2016-10-31 18:00:14+00:00
793135492858580992,2390,6176,2016-10-31 17:00:11+00:00
793120401413079041,3738,12187,2016-10-31 16:00:13+00:00
792913359805018113,3764,13763,2016-10-31 02:17:31+00:00
792883833364439040,4064,10863,2016-10-31 00:20:11+00:00
792773781206999040,1606,7097,2016-10-30 17:02:53+00:00
792394556390137856,4067,12897,2016-10-29 15:55:58+00:00
792050063153438720,1694,6876,2016-10-28 17:07:05+00:00
791821351946420224,20029,0,2016-10-28 01:58:16+00:00
791784077045166082,9033,0,2016-10-27 23:30:09+00:00
791780927877898241,3620,0,2016-10-27 23:17:38+00:00
791774931465953280,21072,43229,2016-10-27 22:53:48+00:00
791672322847637504,2983,11299,2016-10-27 16:06:04+00:00
791406955684368384,3918,12659,2016-10-26 22:31:36+00:00
791312159183634433,2407,8443,2016-10-26 16:14:55+00:00
791026214425268224,3875,0,2016-10-25 21:18:40+00:00
790987426131050500,2025,9444,2016-10-25 18:44:32+00:00
790946055508652032,4445,16065,2016-10-25 16:00:09+00:00
790723298204217344,2190,0,2016-10-25 01:14:59+00:00
790698755171364864,1832,7920,2016-10-24 23:37:28+00:00
790581949425475584,6755,19837,2016-10-24 15:53:19+00:00
790337589677002753,1797,7542,2016-10-23 23:42:19+00:00
790277117346975746,3005,12071,2016-10-23 19:42:02+00:00
790227638568808452,3370,0,2016-10-23 16:25:25+00:00
789986466051088384,2190,8933,2016-10-23 00:27:05+00:00
789960241177853952,3900,0,2016-10-22 22:42:52+00:00
789903600034189313,3929,9913,2016-10-22 18:57:48+00:00
789628658055020548,1678,7198,2016-10-22 00:45:17+00:00
789599242079838210,1818,6478,2016-10-21 22:48:24+00:00
789530877013393408,3200,11268,2016-10-21 18:16:44+00:00
789314372632018944,2170,8303,2016-10-21 03:56:25+00:00
789280767834746880,4668,0,2016-10-21 01:42:53+00:00
789268448748703744,2482,8775,2016-10-21 00:53:56+00:00
789137962068021249,2646,9357,2016-10-20 16:15:26+00:00
788908386943430656,11871,26401,2016-10-20 01:03:11+00:00
788765914992902144,9805,26270,2016-10-19 15:37:03+00:00
788552643979468800,6770,0,2016-10-19 01:29:35+00:00
788412144018661376,5008,14924,2016-10-18 16:11:17+00:00
788178268662984705,2004,6980,2016-10-18 00:41:57+00:00
788150585577050112,1214,5874,2016-10-17 22:51:57+00:00
788070120937619456,3259,0,2016-10-17 17:32:13+00:00
788039637453406209,1249,5875,2016-10-17 15:31:05+00:00
787810552592695296,2881,8268,2016-10-17 00:20:47+00:00
787717603741622272,2630,9845,2016-10-16 18:11:26+00:00
787397959788929025,2712,10477,2016-10-15 21:01:17+00:00
787322443945877504,1647,7499,2016-10-15 16:01:13+00:00
787111942498508800,6397,0,2016-10-15 02:04:45+00:00
786963064373534720,7560,25614,2016-10-14 16:13:10+00:00
786729988674449408,2302,0,2016-10-14 00:47:00+00:00
786709082849828864,5812,17578,2016-10-13 23:23:56+00:00
786664955043049472,2403,10177,2016-10-13 20:28:35+00:00
786595970293370880,2980,9110,2016-10-13 15:54:28+00:00
786363235746385920,3280,10431,2016-10-13 00:29:39+00:00
786286427768250368,2680,7649,2016-10-12 19:24:27+00:00
786233965241827333,4457,14611,2016-10-12 15:55:59+00:00
786051337297522688,151,1370,2016-10-12 03:50:17+00:00
786036967502913536,6598,0,2016-10-12 02:53:11+00:00
785927819176054784,3035,10957,2016-10-11 19:39:28+00:00
785872687017132033,1696,6434,2016-10-11 16:00:24+00:00
785639753186217984,2128,7571,2016-10-11 00:34:48+00:00
785533386513321988,1869,8705,2016-10-10 17:32:08+00:00
785515384317313025,1186,5880,2016-10-10 16:20:36+00:00
785264754247995392,1542,6968,2016-10-09 23:44:41+00:00
785170936622350336,4563,11512,2016-10-09 17:31:53+00:00
